product_name
MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC Video Card
GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060GAMING OC-6GD Video Card
MSI GeForce GTX 1060 DirectX 12 GTX 1060 GAMING X 6G Video Card
XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+| 8GB 256-bit GDDR5| DX12 VR Ready| Double Dissipation| Dual BIOS| PCI-E AMD Graphics Card (RX-580P828D6)
ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600F-10M
EVGA GeForce RTX 2070 Black GAMING| 08G-P4-1071-KR| 8GB GDDR6| Dual HDB Fans
ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G Video Card
ASUS Dual GeForce RTX 2080 Ti DUAL-RTX2080TI-A11G Video Card
GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD Video Card
PowerColor RED DRAGON Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2HD/OC Video Card
SAPPHIRE Radeon RX Vega 64 DirectX 12 21275-03-20G Video Card
ASRock Phantom Gaming D Radeon RX 580 DirectX 12 RX580 8G OC Video Card
